,Date_imp,Category_name,name,price,merchant,brand,currency,weight
81,2017-09-06 20:00:00,"memory, computer, component",Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),149.99,Bestbuy.com,Corsair,USD,3.2 ounces
82,2017-08-30 10:00:00,"memory, computer, component",Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),147.99,Bestbuy.com,Corsair,USD,3.2 ounces
83,2017-08-23 08:00:00,"memory, computer, component",Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),147.99,Bestbuy.com,Corsair,USD,3.2 ounces
84,2017-09-18 09:00:00,"memory, computer, component",Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),154.99,Bestbuy.com,Corsair,USD,3.2 ounces
85,2017-09-12 06:00:00,"memory, computer, component",Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),151.99,Bestbuy.com,Corsair,USD,3.2 ounces
86,2017-09-28 04:00:00,"memory, computer, component",Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),194.82,Walmart.com,Corsair,USD,3.2 ounces
87,2017-09-28 04:00:00,"memory, computer, component",Corsair Vengeance LPX 16GB (2x8GB) DDR4 DRAM 3000MHz C15 Desktop Memory Kit - Black (CMK16GX4M2B3000C15),158.95,Walmart.com,Corsair,USD,3.2 ounces
88,2017-09-08 05:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,55.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
89,2017-08-31 21:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,55.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
90,2017-06-01 17:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,56.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
91,2017-06-01 19:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,56.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
92,2017-05-01 15:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,56.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
93,2017-05-10 20:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,56.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
94,2017-05-09 15:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,56.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
95,2017-04-26 09:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,56.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
96,2017-05-18 08:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,56.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
97,2017-03-31 08:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,56.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
98,2017-03-30 10:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,56.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
99,2017-03-22 20:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,56.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
100,2017-03-15 17:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,56.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
101,2017-03-10 22:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,56.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
102,2017-03-05 08:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,56.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
103,2017-03-04 10:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,56.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
104,2017-08-01 00:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,65.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
105,2017-09-08 05:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,71.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
106,2017-08-31 21:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,71.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
107,2017-08-30 07:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,71.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
108,2017-08-01 00:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,71.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
109,2017-08-01 17:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,71.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
110,2017-07-26 21:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,71.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
111,2017-08-01 17:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,63.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
112,2017-08-30 07:00:00,"speaker, portable, bluetooth",Outdoor Tech Buckshot Pro Bluetooth Speaker,59.99,Bestbuy.com,Outdoor Tech,USD,6.7 ounces
